owner_name,email,airbnb_link,source_type,notes
Anaxagoras 41 Suite | Loft | Departamentos Amueblados,anaxagoras41suite@gmail.com,https://www.airbnb.com/rooms/1505425239306913894,admin,sitio web (correo gmail publicado en el sitio)
Armonia Airbnb,ramon@armoniaairbnb.com,https://es.airbnb.com/rooms/607911259432624327,admin,"sitio web, home/footer"
BADA MÉXICO,info@bada.com.mx,https://es.airbnb.com/rooms/20980033,admin,"sitio web, home/footer"
Bamboo Skylife,info@bambooskylife.com,https://www.airbnb.com/rooms/669511066785396495,admin,"sitio web, home/footer"
Casa Corp Boutique Suites Condesa,info@casacorp.com.mx,https://www.airbnb.com/rooms/1563397081381698432,admin,"sitio web, home/footer"
Casa Donceles,contacto@casadonceles.com,https://es.airbnb.com/rooms/11626067,admin,"sitio web, home/footer"
Casa Filomeno,contacto@casafilomeno.com,https://www.airbnb.ae/rooms/1650464912999743219,admin,"sitio web, pagina de contacto"
Casai,support@casai.com,https://www.airbnb.com/rooms/663690242070681234,admin,"sitio web, pagina de contacto"
Casanevo,hello@casanevo.co,https://es-l.airbnb.com/rooms/1303977398548408741,admin,"sitio web, home/footer"
CityStays,hello@citystays.mx,,admin,"sitio web, home/footer; no se encontro listing especifico de Airbnb"
DR Vacation Rental,info@drvacationsrental.com,https://www.airbnb.com/rooms/1684940514710096386,admin,"sitio web, home/footer"
Enrique Y Ricardo,reservaciones@grupokings.net,https://www.airbnb.com/rooms/5183863,admin,"sitio web, home/footer"
Espacio Hauzz By Eliana,contrataciones@espaciohauzze.com,https://www.airbnb.mx/rooms/974029161970439748,admin,"sitio web, home/footer"
FAIR Property Management,info@administracionairbnb.com,https://www.airbnb.com/rooms/930346928119266771,admin,"sitio web, home/footer"
GoRent,contacto@gorent.mx,https://www.airbnb.mx/rooms/1006144100622695961,admin,"sitio web, home/footer"
Grand Chapultepec Residencial,reservaciones@chapultepecresidencial.com,https://www.airbnb.mx/rooms/25554968,admin,"sitio web, home/footer"
Guestology,contacto@guestology.mx,https://www.airbnb.com/rooms/1253800892319208412,admin,"sitio web, home/footer"
Hauzio,hola@hauzio.com,https://www.airbnb.com/rooms/984203983242251754,admin,"sitio web, home/footer"
HOMi,reservas@homirent.com,https://www.airbnb.mx/rooms/42436342,admin,"sitio web, home/footer"
Hospeda Hoy,contacto@hospedahoy.com,https://www.airbnb.mx/rooms/48678500,admin,"sitio web, home/footer"
Host Me Tender,contacto@hostmetender.com,https://www.airbnb.com/rooms/1700264710217647198,admin,"sitio web, home/footer"
Hostales Del Sur,hostalesdelsur@gmail.com,https://es.airbnb.com/rooms/40865852,admin,sitio web (correo gmail publicado en el sitio)
Hosteando,hola@hosteando.mx,https://es.airbnb.com/rooms/18999214,admin,"sitio web, home/footer"
HostPal,contacto@hostpal.mx,https://www.airbnb.mx/rooms/1050673032032871107,admin,"sitio web, home/footer"
Hotel Boutique Emma,emmahotel289@gmail.com,https://www.airbnb.mx/rooms/1377845858933758765,admin,sitio web (correo gmail publicado en el sitio)
Hotel San Lucas,recepcion@hotelsanlucas.com,https://www.airbnb.mx/rooms/46330194,admin,"sitio web, home/footer"
Hotel Singular Mexico,hola@hotelsingularmexico.com,https://www.airbnb.mx/rooms/949450103214186107,admin,"sitio web, home/footer"
Hugo Brauer Apartments,info@hugobrauerapartments.com,https://www.airbnb.com/rooms/17775497,admin,"sitio web, home/footer"
Inmense Hotels,reservas@inmensehotels.com,https://www.airbnb.com/rooms/813830111709479119,admin,"sitio web, home/footer"
Kasava Homes,stay@kasava.mx,https://www.airbnb.com/rooms/1507714329844470511,admin,"sitio web, home/footer"
Lamartine 619 Residencial,reservaciones@lamartine619.com.mx,https://www.airbnb.mx/rooms/945661231777635144,admin,"sitio web, home/footer"
Lomah,hello@lomah.mx,https://www.airbnb.com/rooms/1169646102281348544,admin,"sitio web, pagina de contacto"
Maia Home,hola@maiahome.mx,https://es.airbnb.com/rooms/599349768725348220,admin,"sitio web, home/footer"
Mares Living,ventas@maresliving.mx,https://es.airbnb.com/rooms/1648197043602705667,admin,"sitio web, home/footer"
MD Rentals,info@md-rentals.mx,https://www.airbnb.com/rooms/1557449277437223684,admin,"sitio web, home/footer"
Mr Herold Homes,Emailreception@mrheroldhomes.com,https://www.airbnb.com/rooms/1437078365998612745,admin,"sitio web, home/footer"
Mr. W,hola@hellomrw.com,https://www.airbnb.com/rooms/52742853,admin,"sitio web, home/footer"
MyPlace Leisure Homes,jessica@myplace.mx,https://www.airbnb.com/rooms/21107601,admin,"sitio web, home/footer"
Naya Homes,guestcare@nayahomes.co,https://www.airbnb.com/rooms/1350267120416308565,admin,"sitio web, pagina de contacto"
Nemvo,wcarvajal@nemvo.com,,admin,"sitio web, pagina de contacto; no se encontro listing especifico de Airbnb"
Niu Coliving,partners@niu-coliving.com,https://www.airbnb.mx/rooms/1029685219551150341,admin,"sitio web, home/footer"
Oasis Collections,reservations@oasiscollections.com,https://www.airbnb.com/rooms/930346928119266771,admin,"sitio web, home/footer"
Otium PM,Contacto@otium.com.mx,https://www.airbnb.com/rooms/1701756077598078044,admin,"sitio web, home/footer"
Pm Tec Group,rrhh@pm-tec-group.com.mx,https://www.airbnb.com/rooms/1708851949455269869,admin,"sitio web, home/footer"
Rent A Kent,kentcantarello@gmail.com,https://www.airbnb.com/rooms/1485616011236891368,admin,sitio web (correo gmail publicado en el sitio)
Rentas Vacacionales LG,rentasvacacionaleslg@gmail.com,https://www.airbnb.mx/rooms/1164789311598341769,admin,sitio web (correo gmail publicado en el sitio)
Stadia Suites,reservaciones@stadiasuites.com,https://www.airbnb.com/rooms/50324211,admin,"sitio web, pagina de contacto"
Suites Havre,suiteshavre74@gmail.com,https://es.airbnb.com/rooms/458808,admin,sitio web (correo gmail publicado en el sitio)
Suites Teca Once,dirventas@jrhoteles.com,https://www.airbnb.com/rooms/47564793,admin,"sitio web, home/footer"
The Local Way,reservations@thelocalway.com.mx,https://www.airbnb.com/rooms/14340524,admin,"sitio web, pagina de contacto"
ULIV Polanco,reservations@uliv.mx,https://es-l.airbnb.com/rooms/741255551943382425,admin,"sitio web, home/footer"
Virtual Homes,reservas@virtualhomes.mx,https://www.airbnb.com/rooms/1434844757706488159,admin,"sitio web, home/footer"
Hana175,ventas@hana175.com,https://www.airbnb.com/rooms/982878968745460781,admin,"sitio web, home/footer"
